elements,blocks,threadsPerBlock,GPU,total global memory(KB),clock rate(KHz),multiprocessor count,async engine count,memory bus width,memory clock rate (KHz),L2 cache size (bytes),max threads per SM
10000,32,32,0.132397,11268608,1635000,68,3,352,7000000,5767168,1024
10000,32,50,0.045865,11268608,1635000,68,3,352,7000000,5767168,1024
10000,32,64,0.034199,11268608,1635000,68,3,352,7000000,5767168,1024
10000,32,100,0.033795,11268608,1635000,68,3,352,7000000,5767168,1024
10000,32,128,0.027159,11268608,1635000,68,3,352,7000000,5767168,1024
10000,32,200,0.026739,11268608,1635000,68,3,352,7000000,5767168,1024
10000,32,256,0.028485,11268608,1635000,68,3,352,7000000,5767168,1024
10000,32,400,0.024233,11268608,1635000,68,3,352,7000000,5767168,1024
10000,32,512,0.026048,11268608,1635000,68,3,352,7000000,5767168,1024
10000,32,750,0.043196,11268608,1635000,68,3,352,7000000,5767168,1024
10000,32,1024,0.054644,11268608,1635000,68,3,352,7000000,5767168,1024
10000,64,32,0.029578,11268608,1635000,68,3,352,7000000,5767168,1024
10000,64,50,0.027019,11268608,1635000,68,3,352,7000000,5767168,1024
10000,64,64,0.023872,11268608,1635000,68,3,352,7000000,5767168,1024
10000,64,100,0.017646,11268608,1635000,68,3,352,7000000,5767168,1024
10000,64,128,0.016575,11268608,1635000,68,3,352,7000000,5767168,1024
10000,64,200,0.012668,11268608,1635000,68,3,352,7000000,5767168,1024
10000,64,256,0.016266,11268608,1635000,68,3,352,7000000,5767168,1024
10000,64,400,0.022559,11268608,1635000,68,3,352,7000000,5767168,1024
10000,64,512,0.029246,11268608,1635000,68,3,352,7000000,5767168,1024
10000,64,750,0.043825,11268608,1635000,68,3,352,7000000,5767168,1024
10000,64,1024,0.057826,11268608,1635000,68,3,352,7000000,5767168,1024
10000,128,32,0.02056,11268608,1635000,68,3,352,7000000,5767168,1024
10000,128,50,0.017541,11268608,1635000,68,3,352,7000000,5767168,1024
10000,128,64,0.016391,11268608,1635000,68,3,352,7000000,5767168,1024
10000,128,100,0.016719,11268608,1635000,68,3,352,7000000,5767168,1024
10000,128,128,0.016762,11268608,1635000,68,3,352,7000000,5767168,1024
10000,128,200,0.015461,11268608,1635000,68,3,352,7000000,5767168,1024
10000,128,256,0.016767,11268608,1635000,68,3,352,7000000,5767168,1024
10000,128,400,0.025032,11268608,1635000,68,3,352,7000000,5767168,1024
10000,128,512,0.024714,11268608,1635000,68,3,352,7000000,5767168,1024
10000,128,750,0.054227,11268608,1635000,68,3,352,7000000,5767168,1024
10000,128,1024,0.068892,11268608,1635000,68,3,352,7000000,5767168,1024
10000,256,32,0.016356,11268608,1635000,68,3,352,7000000,5767168,1024
10000,256,50,0.013435,11268608,1635000,68,3,352,7000000,5767168,1024
10000,256,64,0.014987,11268608,1635000,68,3,352,7000000,5767168,1024
10000,256,100,0.019216,11268608,1635000,68,3,352,7000000,5767168,1024
10000,256,128,0.01854,11268608,1635000,68,3,352,7000000,5767168,1024
10000,256,200,0.025024,11268608,1635000,68,3,352,7000000,5767168,1024
10000,256,256,0.031422,11268608,1635000,68,3,352,7000000,5767168,1024
10000,256,400,0.043471,11268608,1635000,68,3,352,7000000,5767168,1024
10000,256,512,0.049062,11268608,1635000,68,3,352,7000000,5767168,1024
10000,256,750,0.040461,11268608,1635000,68,3,352,7000000,5767168,1024
10000,256,1024,0.050445,11268608,1635000,68,3,352,7000000,5767168,1024
10000,512,32,0.014681,11268608,1635000,68,3,352,7000000,5767168,1024
10000,512,50,0.017588,11268608,1635000,68,3,352,7000000,5767168,1024
10000,512,64,0.016408,11268608,1635000,68,3,352,7000000,5767168,1024
10000,512,100,0.017454,11268608,1635000,68,3,352,7000000,5767168,1024
10000,512,128,0.017525,11268608,1635000,68,3,352,7000000,5767168,1024
