elements,blocks,threadsPerBlock,GPU
100000, 512, 32, 0.544644
100000, 512, 50, 0.382954
100000, 512, 64, 0.375853
100000, 512, 100, 0.330652
100000, 512, 128, 0.310616
100000, 512, 200, 0.314159
100000, 512, 256, 0.286222
100000, 512, 400, 0.317599
100000, 512, 512, 0.296701
100000, 512, 750, 0.335093
100000, 512, 1024, 0.330337
100000, 1024, 32, 0.377063
100000, 1024, 50, 0.360226
100000, 1024, 64, 0.311607
100000, 1024, 100, 0.341181
100000, 1024, 128, 0.636579
100000, 1024, 200, 0.704666
100000, 1024, 256, 0.640609
100000, 1024, 400, 0.709771
100000, 1024, 512, 0.585932
100000, 1024, 750, 0.334674
100000, 1024, 1024, 0.330499
100000, 2048, 32, 0.311349
100000, 2048, 50, 0.365466
100000, 2048, 64, 0.289572
100000, 2048, 100, 0.334974
100000, 2048, 128, 0.283005
100000, 2048, 200, 0.313365
100000, 2048, 256, 0.286464
100000, 2048, 400, 0.318065
100000, 2048, 512, 0.296146
100000, 2048, 750, 0.334831
100000, 2048, 1024, 0.330266
100000, 4096, 32, 0.290783
100000, 4096, 50, 0.366455
100000, 4096, 64, 0.290021
100000, 4096, 100, 0.342387
100000, 4096, 128, 0.645331
100000, 4096, 200, 0.641489
100000, 4096, 256, 0.283494
100000, 4096, 400, 0.314683
100000, 4096, 512, 0.296196
100000, 4096, 750, 0.335183
100000, 4096, 1024, 0.330144
100000, 8192, 32, 0.285465
100000, 8192, 50, 0.369546
100000, 8192, 64, 0.291474
100000, 8192, 100, 0.340134
100000, 8192, 128, 0.288824
100000, 8192, 200, 0.318160
100000, 8192, 256, 0.286886
100000, 8192, 400, 0.317860
100000, 8192, 512, 0.295676
100000, 8192, 750, 0.334861
100000, 8192, 1024, 0.330199
100000, 16384, 32, 0.282820
100000, 16384, 50, 0.375978
100000, 16384, 64, 0.292735
100000, 16384, 100, 0.348922
100000, 16384, 128, 0.281545
100000, 16384, 200, 0.316704
100000, 16384, 256, 0.284551
100000, 16384, 400, 0.318114
100000, 16384, 512, 0.295515
100000, 16384, 750, 0.335020
100000, 16384, 1024, 0.330710
100000, 32768, 32, 0.285459
100000, 32768, 50, 0.376970
100000, 32768, 64, 0.287312
100000, 32768, 100, 0.345336
100000, 32768, 128, 0.282279
100000, 32768, 200, 0.315911
100000, 32768, 256, 0.284424
100000, 32768, 400, 0.318026
100000, 32768, 512, 0.296084
100000, 32768, 750, 0.335170
100000, 32768, 1024, 0.331159
100000, 512, 32, 0.543386
100000, 512, 50, 0.383178
100000, 512, 64, 0.375392
100000, 512, 100, 0.330829
100000, 512, 128, 0.310454
100000, 512, 200, 0.313310
100000, 512, 256, 0.286250
100000, 512, 400, 0.317748
100000, 512, 512, 0.296370
100000, 512, 750, 0.334509
100000, 512, 1024, 0.330909
100000, 1024, 32, 0.376960
100000, 1024, 50, 0.360596
100000, 1024, 64, 0.311555
100000, 1024, 100, 0.335704
100000, 1024, 128, 0.283233
100000, 1024, 200, 0.313486
100000, 1024, 256, 0.286171
100000, 1024, 400, 0.318290
100000, 1024, 512, 0.296440
100000, 1024, 750, 0.334717
100000, 1024, 1024, 0.330787
100000, 2048, 32, 0.311638
100000, 2048, 50, 0.363654
100000, 2048, 64, 0.288690
100000, 2048, 100, 0.335223
100000, 2048, 128, 0.282631
100000, 2048, 200, 0.314633
100000, 2048, 256, 0.286391
100000, 2048, 400, 0.318382
100000, 2048, 512, 0.296341
100000, 2048, 750, 0.334970
100000, 2048, 1024, 0.329992
100000, 4096, 32, 0.282409
100000, 4096, 50, 0.365111
100000, 4096, 64, 0.290671
100000, 4096, 100, 0.341089
100000, 4096, 128, 0.286042
100000, 4096, 200, 0.317523
100000, 4096, 256, 0.291328
100000, 4096, 400, 0.317931
100000, 4096, 512, 0.296027
100000, 4096, 750, 0.335760
100000, 4096, 1024, 0.330483
100000, 8192, 32, 0.287654
100000, 8192, 50, 0.376455
100000, 8192, 64, 0.292715
100000, 8192, 100, 0.346851
100000, 8192, 128, 0.284699
100000, 8192, 200, 0.316837
100000, 8192, 256, 0.286291
100000, 8192, 400, 0.317744
100000, 8192, 512, 0.296346
100000, 8192, 750, 0.335016
100000, 8192, 1024, 0.331108
100000, 16384, 32, 0.283750
100000, 16384, 50, 0.369801
100000, 16384, 64, 0.299673
100000, 16384, 100, 0.341095
100000, 16384, 128, 0.292312
100000, 16384, 200, 0.315486
100000, 16384, 256, 0.288025
100000, 16384, 400, 0.318714
100000, 16384, 512, 0.296594
100000, 16384, 750, 0.335281
100000, 16384, 1024, 0.330603
100000, 32768, 32, 0.287013
100000, 32768, 50, 0.378889
100000, 32768, 64, 0.292815
100000, 32768, 100, 0.342093
100000, 32768, 128, 0.285735
100000, 32768, 200, 0.316964
100000, 32768, 256, 0.289681
100000, 32768, 400, 0.318143
100000, 32768, 512, 0.296266
100000, 32768, 750, 0.335148
100000, 32768, 1024, 0.329515
100000, 512, 32, 0.543933
100000, 512, 50, 0.383281
100000, 512, 64, 0.376132
100000, 512, 100, 0.330630
100000, 512, 128, 0.310526
100000, 512, 200, 0.313660
100000, 512, 256, 0.286195
100000, 512, 400, 0.318076
100000, 512, 512, 0.296387
100000, 512, 750, 0.334485
100000, 512, 1024, 0.330497
100000, 1024, 32, 0.377003
100000, 1024, 50, 0.360264
100000, 1024, 64, 0.311579
100000, 1024, 100, 0.334410
100000, 1024, 128, 0.282896
100000, 1024, 200, 0.314019
100000, 1024, 256, 0.286338
100000, 1024, 400, 0.318009
100000, 1024, 512, 0.296286
100000, 1024, 750, 0.334786
100000, 1024, 1024, 0.330415
100000, 2048, 32, 0.312016
100000, 2048, 50, 0.363949
100000, 2048, 64, 0.288573
100000, 2048, 100, 0.335036
100000, 2048, 128, 0.283430
100000, 2048, 200, 0.313558
100000, 2048, 256, 0.286120
100000, 2048, 400, 0.317577
100000, 2048, 512, 0.296258
100000, 2048, 750, 0.335361
100000, 2048, 1024, 0.329652
100000, 4096, 32, 0.283383
100000, 4096, 50, 0.364969
100000, 4096, 64, 0.289474
100000, 4096, 100, 0.338266
100000, 4096, 128, 0.293001
100000, 4096, 200, 0.316374
100000, 4096, 256, 0.289471
100000, 4096, 400, 0.318391
100000, 4096, 512, 0.296182
100000, 4096, 750, 0.335266
100000, 4096, 1024, 0.330377
100000, 8192, 32, 0.283103
100000, 8192, 50, 0.380414
100000, 8192, 64, 0.296857
100000, 8192, 100, 0.342007
100000, 8192, 128, 0.286147
