elements,clusters,Iterations,blocks,threadsPerBlock,GPU
100000,10,64,32,32,0.133166
100000,10,64,32,50,0.112283
100000,10,64,32,64,0.114182
100000,10,64,32,100,0.112182
100000,10,64,32,128,0.110493
100000,10,64,32,200,0.109558
100000,10,64,32,256,0.108617
100000,10,65,32,400,0.109733
100000,10,62,32,512,0.107948
100000,10,64,32,750,0.109138
100000,10,54,32,1024,0.105663
100000,10,54,64,32,0.105198
100000,10,54,64,50,0.105125
100000,10,54,64,64,0.105683
100000,10,54,64,100,0.104196
100000,10,54,64,128,0.104284
100000,10,54,64,200,0.104513
100000,10,61,64,256,0.122048
100000,10,60,64,400,0.108505
100000,10,61,64,512,0.109347
100000,10,61,64,750,0.108861
100000,10,62,64,1024,0.110752
100000,10,61,128,32,0.109777
100000,10,88,128,50,0.121641
100000,10,88,128,64,0.121003
100000,10,88,128,100,0.122159
100000,10,88,128,128,0.121489
100000,10,88,128,200,0.122728
100000,10,89,128,256,0.12345
100000,10,89,128,400,0.125487
100000,10,90,128,512,0.126411
100000,10,91,128,750,0.124488
100000,10,91,128,1024,0.12646
100000,10,91,256,32,0.123096
100000,10,78,256,50,0.118509
100000,10,78,256,64,0.116402
100000,10,78,256,100,0.120328
100000,10,78,256,128,0.11789
100000,10,78,256,200,0.118618
100000,10,78,256,256,0.119691
100000,10,69,256,400,0.1149
100000,10,69,256,512,0.116317
100000,10,69,256,750,0.124618
100000,10,69,256,1024,0.140638
100000,10,69,512,32,0.129319
100000,10,69,512,50,0.151043
100000,10,70,512,64,0.154788
100000,10,87,512,100,0.132944
100000,10,84,512,128,0.151836
100000,10,87,512,200,0.124377
100000,10,92,512,256,0.128158
100000,10,87,512,400,0.123329
100000,10,84,512,512,0.124866
100000,10,84,512,750,0.121935
100000,10,86,512,1024,0.12456
100000,10,83,1024,32,0.121037
100000,10,84,1024,50,0.121878
100000,10,94,1024,64,0.130028
100000,10,93,1024,100,0.124492
100000,10,93,1024,128,0.127816
100000,10,92,1024,200,0.124564
100000,10,92,1024,256,0.127336
100000,10,94,1024,400,0.127114
100000,10,60,1024,512,0.11298
100000,10,59,1024,750,0.130419
100000,10,60,1024,1024,0.138448
100000,10,59,2048,32,0.123271
100000,10,61,2048,50,0.114871
100000,10,51,2048,64,0.11083
100000,10,51,2048,100,0.111551
100000,10,51,2048,128,0.106125
100000,10,51,2048,200,0.104691
100000,10,51,2048,256,0.106777
100000,10,51,2048,400,0.106191
100000,10,62,2048,512,0.11838
100000,10,62,2048,750,0.122595
100000,10,62,2048,1024,0.147903
100000,10,62,4096,32,0.148796
100000,10,87,4096,50,0.130877
100000,10,87,4096,64,0.128432
100000,10,90,4096,100,0.126186
100000,10,87,4096,128,0.125097
100000,10,87,4096,200,0.124388
100000,10,60,4096,256,0.112666
100000,10,58,4096,400,0.11296
100000,10,57,4096,512,0.113928
100000,10,58,4096,750,0.112874
100000,10,57,4096,1024,0.110885
100000,10,57,8192,32,0.110387
100000,10,86,8192,50,0.12312
100000,10,85,8192,64,0.126552
100000,10,87,8192,100,0.122529
100000,10,88,8192,128,0.124343
100000,10,85,8192,200,0.122306
100000,10,89,8192,256,0.126003
100000,10,55,8192,400,0.107908
100000,10,55,8192,512,0.111482
100000,10,56,8192,750,0.109959
100000,10,55,8192,1024,0.110846
100000,10,56,16384,32,0.109199
100000,10,56,16384,50,0.108848
100000,10,65,16384,64,0.116506
100000,10,65,16384,100,0.113104
100000,10,65,16384,128,0.115523
100000,10,65,16384,200,0.114938
100000,10,65,16384,256,0.114082
100000,10,65,16384,400,0.115263
100000,10,60,16384,512,0.116004
100000,10,60,16384,750,0.117768
100000,10,59,16384,1024,0.119553
100000,10,67,32768,32,0.116899
100000,10,59,32768,50,0.113072
100000,10,61,32768,64,0.116502
100000,10,73,32768,100,0.122015
100000,10,74,32768,128,0.122725
100000,10,74,32768,200,0.122731
100000,10,73,32768,256,0.121128
100000,10,74,32768,400,0.125161
100000,10,84,32768,512,0.138379
100000,10,83,32768,750,0.149473
100000,10,82,32768,1024,0.151552
100000,10,84,32,32,0.13352
100000,10,84,32,50,0.116312
100000,10,84,32,64,0.119203
100000,10,62,32,100,0.107122
100000,10,62,32,128,0.105919
100000,10,62,32,200,0.105212
100000,10,62,32,256,0.10594
100000,10,62,32,400,0.10568
100000,10,62,32,512,0.105849
100000,10,54,32,750,0.105535
100000,10,54,32,1024,0.10348
100000,10,54,64,32,0.104194
100000,10,54,64,50,0.103819
100000,10,54,64,64,0.102768
100000,10,54,64,100,0.102292
100000,10,71,64,128,0.110714
100000,10,71,64,200,0.108739
100000,10,71,64,256,0.109192
100000,10,71,64,400,0.114746
100000,10,71,64,512,0.115618
100000,10,73,64,750,0.11608
100000,10,71,64,1024,0.115348
100000,10,71,128,32,0.114131
100000,10,71,128,50,0.113994
100000,10,71,128,64,0.113588
100000,10,71,128,100,0.113974
100000,10,71,128,128,0.113433
100000,10,55,128,200,0.107735
100000,10,55,128,256,0.107353
100000,10,56,128,400,0.107952
100000,10,55,128,512,0.109423
100000,10,55,128,750,0.106594
100000,10,56,128,1024,0.108604
100000,10,78,256,32,0.116648
100000,10,79,256,50,0.117727
100000,10,78,256,64,0.116801
100000,10,79,256,100,0.120651
100000,10,79,256,128,0.1188
100000,10,79,256,200,0.119526
100000,10,100,256,256,0.130878
100000,10,100,256,400,0.129523
100000,10,100,256,512,0.133394
100000,10,100,256,750,0.129119
100000,10,100,256,1024,0.131219
100000,10,100,512,32,0.127658
100000,10,97,512,50,0.127509
100000,10,97,512,64,0.127222
100000,10,99,512,100,0.12864
100000,10,96,512,128,0.1287
100000,10,97,512,200,0.128408
100000,10,64,512,256,0.112415
100000,10,65,512,400,0.112523
100000,10,65,512,512,0.113481
100000,10,65,512,750,0.112807
100000,10,65,512,1024,0.113374
100000,10,65,1024,32,0.111916
100000,10,66,1024,50,0.111994
100000,10,66,1024,64,0.113625
100000,10,64,1024,100,0.127815
100000,10,66,1024,128,0.11542
100000,10,65,1024,200,0.11246
100000,10,66,1024,256,0.11407
100000,10,70,1024,400,0.115186
100000,10,70,1024,512,0.116865
100000,10,70,1024,750,0.117118
100000,10,70,1024,1024,0.115317
100000,10,70,2048,32,0.115455
100000,10,70,2048,50,0.11573
100000,10,54,2048,64,0.108771
100000,10,54,2048,100,0.105849
100000,10,54,2048,128,0.108006
100000,10,54,2048,200,0.106838
100000,10,54,2048,256,0.110707
100000,10,54,2048,400,0.108906
100000,10,60,2048,512,0.124215
100000,10,59,2048,750,0.109686
100000,10,60,2048,1024,0.1114
100000,10,60,4096,32,0.110076
100000,10,60,4096,50,0.110412
100000,10,60,4096,64,0.112105
100000,10,108,4096,100,0.134047
100000,10,108,4096,128,0.134599
100000,10,108,4096,200,0.134285
100000,10,106,4096,256,0.134063
100000,10,108,4096,400,0.134418
100000,10,106,4096,512,0.138576
100000,10,139,4096,750,0.150848
100000,10,123,4096,1024,0.139738
100000,10,123,8192,32,0.133763
100000,10,123,8192,50,0.134454
100000,10,126,8192,64,0.138532
100000,10,110,8192,100,0.129518
100000,10,110,8192,128,0.129982
100000,10,110,8192,200,0.1303
100000,10,110,8192,256,0.131181
100000,10,110,8192,400,0.131295
100000,10,76,8192,512,0.116513
100000,10,76,8192,750,0.115982
100000,10,75,8192,1024,0.11797
100000,10,75,16384,32,0.113885
100000,10,75,16384,50,0.117459
100000,10,75,16384,64,0.117201
100000,10,47,16384,100,0.10324
100000,10,47,16384,128,0.103969
100000,10,47,16384,200,0.101182
100000,10,46,16384,256,0.101708
100000,10,47,16384,400,0.102823
100000,10,47,16384,512,0.104029
100000,10,79,16384,750,0.124552
100000,10,75,16384,1024,0.124366
100000,10,79,32768,32,0.118369
100000,10,79,32768,50,0.11974
100000,10,79,32768,64,0.121744
100000,10,79,32768,100,0.118352
100000,10,90,32768,128,0.125704
100000,10,90,32768,200,0.124115
100000,10,90,32768,256,0.125685
100000,10,90,32768,400,0.128776
100000,10,90,32768,512,0.13247
100000,10,90,32768,750,0.148919
100000,10,62,32768,1024,0.129628
100000,10,62,32,32,0.118185
100000,10,62,32,50,0.107019
100000,10,62,32,64,0.109005
100000,10,62,32,100,0.109012
100000,10,46,32,128,0.09951
100000,10,47,32,200,0.0997
100000,10,46,32,256,0.100901
100000,10,46,32,400,0.099993
100000,10,46,32,512,0.100073
100000,10,46,32,750,0.101001
100000,10,46,32,1024,0.104301
100000,10,54,64,32,0.103871
100000,10,54,64,50,0.104126
100000,10,53,64,64,0.102239
100000,10,55,64,100,0.103094
100000,10,55,64,128,0.103706
100000,10,54,64,200,0.102929
100000,10,60,64,256,0.105651
100000,10,60,64,400,0.105286
100000,10,59,64,512,0.10541
100000,10,60,64,750,0.105945
100000,10,60,64,1024,0.106989
100000,10,60,128,32,0.106154
100000,10,60,128,50,0.108042
100000,10,78,128,64,0.11362
100000,10,78,128,100,0.11456
100000,10,78,128,128,0.113496
100000,10,78,128,200,0.113302
100000,10,79,128,256,0.120216
100000,10,78,128,400,0.114756
100000,10,60,128,512,0.107042
100000,10,60,128,750,0.10579
100000,10,59,128,1024,0.107141
100000,10,59,256,32,0.105096
100000,10,59,256,50,0.106283
100000,10,60,256,64,0.10832
100000,10,95,256,100,0.121995
100000,10,95,256,128,0.12252
100000,10,95,256,200,0.123554
100000,10,95,256,256,0.125108
100000,10,95,256,400,0.123598
100000,10,121,256,512,0.139246
100000,10,122,256,750,0.133556
100000,10,121,256,1024,0.136075
100000,10,121,512,32,0.13226
100000,10,121,512,50,0.134241
100000,10,121,512,64,0.133862
100000,10,58,512,100,0.106879
100000,10,58,512,128,0.106899
100000,10,58,512,200,0.106816
100000,10,58,512,256,0.117595
100000,10,58,512,400,0.106033
100000,10,118,512,512,0.138671
100000,10,118,512,750,0.131846
100000,10,118,512,1024,0.132495
100000,10,124,1024,32,0.134055
100000,10,117,1024,50,0.13082
100000,10,69,1024,64,0.115252
100000,10,69,1024,100,0.110694
100000,10,69,1024,128,0.11184
100000,10,69,1024,200,0.110924
100000,10,127,1024,256,0.137454
100000,10,69,1024,400,0.111503
100000,10,65,1024,512,0.110331
100000,10,66,1024,750,0.109899
100000,10,65,1024,1024,0.110164
100000,10,65,2048,32,0.109392
100000,10,65,2048,50,0.111315
100000,10,57,2048,64,0.109068
100000,10,57,2048,100,0.105027
100000,10,57,2048,128,0.105766
100000,10,57,2048,200,0.105408
100000,10,57,2048,256,0.105817
100000,10,81,2048,400,0.117587
100000,10,81,2048,512,0.131484
100000,10,81,2048,750,0.117335
100000,10,81,2048,1024,0.117554
100000,10,72,4096,32,0.111694
100000,10,72,4096,50,0.111902
100000,10,74,4096,64,0.115255
100000,10,72,4096,100,0.11269
100000,10,72,4096,128,0.113125
100000,10,72,4096,200,0.11221
100000,10,99,4096,256,0.125776
100000,10,99,4096,400,0.125784
100000,10,99,4096,512,0.127349
100000,10,99,4096,750,0.125254
100000,10,100,4096,1024,0.126299
100000,10,99,8192,32,0.12345
100000,10,100,8192,50,0.124736
100000,10,66,8192,64,0.111581
100000,10,66,8192,100,0.110465
100000,10,66,8192,128,0.112048
100000,10,73,8192,200,0.112998
100000,10,73,8192,256,0.11402
100000,10,73,8192,400,0.114535
100000,10,73,8192,512,0.114917
100000,10,73,8192,750,0.115525
100000,10,73,8192,1024,0.117727
100000,10,73,16384,32,0.113736
100000,10,73,16384,50,0.114102
100000,10,73,16384,64,0.116664
100000,10,130,16384,100,0.13966
100000,10,130,16384,128,0.140961
100000,10,125,16384,200,0.13787
100000,10,130,16384,256,0.143
100000,10,69,16384,400,0.113492
100000,10,69,16384,512,0.114411
100000,10,69,16384,750,0.119225
100000,10,69,16384,1024,0.120677
100000,10,69,32768,32,0.113569
100000,10,69,32768,50,0.113862
100000,10,69,32768,64,0.115826
100000,10,69,32768,100,0.11667
100000,10,74,32768,128,0.119584
100000,10,75,32768,200,0.11737
100000,10,75,32768,256,0.119025
100000,10,75,32768,400,0.120749
100000,10,75,32768,512,0.12499
100000,10,75,32768,750,0.135111
100000,10,63,32768,1024,0.128867
100000,10,63,32,32,0.119299
100000,10,63,32,50,0.107548
100000,10,63,32,64,0.109298
100000,10,63,32,100,0.107455
100000,10,203,32,128,0.165158
100000,10,203,32,200,0.165126
100000,10,203,32,256,0.163327
100000,10,203,32,400,0.164074
100000,10,71,32,512,0.109601
100000,10,71,32,750,0.109688
100000,10,71,32,1024,0.109695
100000,10,71,64,32,0.111153
100000,10,71,64,50,0.110397
100000,10,58,64,64,0.105614
100000,10,58,64,100,0.104228
100000,10,58,64,128,0.104336
100000,10,58,64,200,0.104394
100000,10,77,64,256,0.112345
100000,10,76,64,400,0.112423
100000,10,76,64,512,0.117271
100000,10,76,64,750,0.116552
100000,10,66,64,1024,0.112296
100000,10,68,128,32,0.11292
100000,10,67,128,50,0.111897
100000,10,67,128,64,0.110547
100000,10,169,128,100,0.156458
100000,10,169,128,128,0.150651
100000,10,170,128,200,0.152331
100000,10,169,128,256,0.151586
100000,10,79,128,400,0.115604
100000,10,80,128,512,0.11752
100000,10,80,128,750,0.114142
100000,10,80,128,1024,0.116063
100000,10,80,256,32,0.112742
100000,10,82,256,50,0.113463
100000,10,83,256,64,0.114866
100000,10,82,256,100,0.115684
100000,10,82,256,128,0.115214
100000,10,82,256,200,0.115558
100000,10,78,256,256,0.114011
100000,10,78,256,400,0.114266
100000,10,77,256,512,0.11629
100000,10,78,256,750,0.114006
100000,10,77,256,1024,0.113862
100000,10,57,512,32,0.104102
100000,10,57,512,50,0.104788
100000,10,57,512,64,0.105873
100000,10,52,512,100,0.10283
100000,10,57,512,128,0.106152
100000,10,53,512,200,0.103284
100000,10,103,512,256,0.124931
100000,10,109,512,400,0.128786
100000,10,111,512,512,0.131984
100000,10,112,512,750,0.128409
100000,10,108,512,1024,0.127463
100000,10,133,1024,32,0.138245
100000,10,134,1024,50,0.138078
100000,10,133,1024,64,0.143799
100000,10,134,1024,100,0.138283
100000,10,53,1024,128,0.104797
100000,10,53,1024,200,0.103832
100000,10,53,1024,256,0.105848
100000,10,53,1024,400,0.103882
100000,10,53,1024,512,0.104684
100000,10,54,1024,750,0.105472
100000,10,54,1024,1024,0.104344
100000,10,54,2048,32,0.104389
100000,10,54,2048,50,0.104285
100000,10,63,2048,64,0.108798
100000,10,62,2048,100,0.1071
100000,10,62,2048,128,0.108967
100000,10,62,2048,200,0.108284
100000,10,63,2048,256,0.109175
100000,10,62,2048,400,0.108748
100000,10,64,2048,512,0.109752
100000,10,64,2048,750,0.112562
100000,10,63,2048,1024,0.109241
100000,10,67,4096,32,0.109359
100000,10,67,4096,50,0.109496
100000,10,67,4096,64,0.112297
100000,10,67,4096,100,0.11106
100000,10,67,4096,128,0.10955
100000,10,67,4096,200,0.110747
100000,10,78,4096,256,0.115066
100000,10,77,4096,400,0.115472
100000,10,75,4096,512,0.116578
100000,10,77,4096,750,0.11544
100000,10,77,4096,1024,0.116028
100000,10,107,8192,32,0.127419
100000,10,107,8192,50,0.128124
100000,10,107,8192,64,0.131745
100000,10,108,8192,100,0.127632
100000,10,107,8192,128,0.130737
100000,10,73,8192,200,0.112556
100000,10,70,8192,256,0.111974
100000,10,73,8192,400,0.114184
100000,10,72,8192,512,0.114459
100000,10,73,8192,750,0.114711
100000,10,57,8192,1024,0.108015
100000,10,57,16384,32,0.108338
100000,10,57,16384,50,0.107152
100000,10,57,16384,64,0.10762
100000,10,57,16384,100,0.106991
100000,10,81,16384,128,0.12021
100000,10,81,16384,200,0.118066
100000,10,81,16384,256,0.118248
100000,10,81,16384,400,0.119031
100000,10,64,16384,512,0.112191
100000,10,64,16384,750,0.115917
100000,10,64,16384,1024,0.118214
100000,10,64,32768,32,0.11065
100000,10,64,32768,50,0.111611
100000,10,65,32768,64,0.113927
100000,10,74,32768,100,0.118626
100000,10,74,32768,128,0.119443
100000,10,74,32768,200,0.118989
100000,10,74,32768,256,0.117368
100000,10,74,32768,400,0.119353
100000,10,57,32768,512,0.114386
100000,10,57,32768,750,0.12226
100000,10,56,32768,1024,0.123441
100000,10,57,32,32,0.115814
100000,10,57,32,50,0.105917
100000,10,53,32,64,0.107511
100000,10,53,32,100,0.103709
100000,10,53,32,128,0.103106
100000,10,50,32,200,0.101952
100000,10,80,32,256,0.113076
100000,10,80,32,400,0.113194
100000,10,80,32,512,0.114145
100000,10,68,32,750,0.110997
100000,10,68,32,1024,0.109473
