elements,blocks,threadsPerBlock,GPU,total global memory(KB),clock rate(KHz),multiprocessor count,async engine count,memory bus width,memory clock rate (KHz),L2 cache size (bytes),max threads per SM
10000,32,32,0.00461,11268608,1635000,68,3,352,7000000,5767168,1024
10000,32,50,0.005231,11268608,1635000,68,3,352,7000000,5767168,1024
10000,32,64,0.004719,11268608,1635000,68,3,352,7000000,5767168,1024
10000,32,100,0.004608,11268608,1635000,68,3,352,7000000,5767168,1024
10000,32,128,0.004693,11268608,1635000,68,3,352,7000000,5767168,1024
10000,32,200,0.004691,11268608,1635000,68,3,352,7000000,5767168,1024
10000,32,256,0.004794,11268608,1635000,68,3,352,7000000,5767168,1024
10000,32,400,0.004693,11268608,1635000,68,3,352,7000000,5767168,1024
10000,32,512,0.004552,11268608,1635000,68,3,352,7000000,5767168,1024
10000,32,750,0.004901,11268608,1635000,68,3,352,7000000,5767168,1024
10000,32,1024,0.005007,11268608,1635000,68,3,352,7000000,5767168,1024
10000,64,32,0.004878,11268608,1635000,68,3,352,7000000,5767168,1024
10000,64,50,0.004932,11268608,1635000,68,3,352,7000000,5767168,1024
10000,64,64,0.004534,11268608,1635000,68,3,352,7000000,5767168,1024
10000,64,100,0.004775,11268608,1635000,68,3,352,7000000,5767168,1024
10000,64,128,0.004642,11268608,1635000,68,3,352,7000000,5767168,1024
10000,64,200,0.004745,11268608,1635000,68,3,352,7000000,5767168,1024
10000,64,256,0.004869,11268608,1635000,68,3,352,7000000,5767168,1024
10000,64,400,0.004914,11268608,1635000,68,3,352,7000000,5767168,1024
10000,64,512,0.004888,11268608,1635000,68,3,352,7000000,5767168,1024
10000,64,750,0.005078,11268608,1635000,68,3,352,7000000,5767168,1024
10000,64,1024,0.005219,11268608,1635000,68,3,352,7000000,5767168,1024
10000,128,32,0.004581,11268608,1635000,68,3,352,7000000,5767168,1024
10000,128,50,0.004749,11268608,1635000,68,3,352,7000000,5767168,1024
10000,128,64,0.005067,11268608,1635000,68,3,352,7000000,5767168,1024
10000,128,100,0.004571,11268608,1635000,68,3,352,7000000,5767168,1024
10000,128,128,0.005036,11268608,1635000,68,3,352,7000000,5767168,1024
10000,128,200,0.004946,11268608,1635000,68,3,352,7000000,5767168,1024
10000,128,256,0.004825,11268608,1635000,68,3,352,7000000,5767168,1024
10000,128,400,0.005496,11268608,1635000,68,3,352,7000000,5767168,1024
10000,128,512,0.005579,11268608,1635000,68,3,352,7000000,5767168,1024
10000,128,750,0.018212,11268608,1635000,68,3,352,7000000,5767168,1024
10000,128,1024,0.017877,11268608,1635000,68,3,352,7000000,5767168,1024
10000,256,32,0.004707,11268608,1635000,68,3,352,7000000,5767168,1024
10000,256,50,0.004909,11268608,1635000,68,3,352,7000000,5767168,1024
10000,256,64,0.004565,11268608,1635000,68,3,352,7000000,5767168,1024
10000,256,100,0.00518,11268608,1635000,68,3,352,7000000,5767168,1024
10000,256,128,0.005133,11268608,1635000,68,3,352,7000000,5767168,1024
10000,256,200,0.00535,11268608,1635000,68,3,352,7000000,5767168,1024
10000,256,256,0.005257,11268608,1635000,68,3,352,7000000,5767168,1024
10000,256,400,0.017952,11268608,1635000,68,3,352,7000000,5767168,1024
10000,256,512,0.017967,11268608,1635000,68,3,352,7000000,5767168,1024
10000,256,750,0.017953,11268608,1635000,68,3,352,7000000,5767168,1024
10000,256,1024,0.018007,11268608,1635000,68,3,352,7000000,5767168,1024
10000,512,32,0.004828,11268608,1635000,68,3,352,7000000,5767168,1024
10000,512,50,0.004724,11268608,1635000,68,3,352,7000000,5767168,1024
10000,512,64,0.004911,11268608,1635000,68,3,352,7000000,5767168,1024
10000,512,100,0.005582,11268608,1635000,68,3,352,7000000,5767168,1024
10000,512,128,0.005444,11268608,1635000,68,3,352,7000000,5767168,1024
10000,512,200,0.014837,11268608,1635000,68,3,352,7000000,5767168,1024
10000,512,256,0.018277,11268608,1635000,68,3,352,7000000,5767168,1024
