elements,blocks,threadsPerBlock,GPU
10000000, 32, 32, 0.001307
10000000, 32, 50, 0.001149
10000000, 32, 64, 0.001128
10000000, 32, 100, 0.001076
10000000, 32, 128, 0.001132
10000000, 32, 200, 0.001124
10000000, 32, 256, 0.001197
10000000, 32, 400, 0.001386
10000000, 32, 512, 0.001632
10000000, 32, 750, 0.001998
10000000, 32, 1024, 0.002444
10000000, 64, 32, 0.001129
10000000, 64, 50, 0.001063
10000000, 64, 64, 0.001124
10000000, 64, 100, 0.001083
10000000, 64, 128, 0.001195
10000000, 64, 200, 0.001449
10000000, 64, 256, 0.001629
10000000, 64, 400, 0.002128
10000000, 64, 512, 0.002560
10000000, 64, 750, 0.003521
10000000, 64, 1024, 0.004639
10000000, 128, 32, 0.001095
10000000, 128, 50, 0.001146
10000000, 128, 64, 0.001241
10000000, 128, 100, 0.001454
10000000, 128, 128, 0.001656
10000000, 128, 200, 0.002037
10000000, 128, 256, 0.002567
10000000, 128, 400, 0.003799
10000000, 128, 512, 0.004537
10000000, 128, 750, 0.005484
10000000, 128, 1024, 0.006998
10000000, 256, 32, 0.001202
10000000, 256, 50, 0.001392
10000000, 256, 64, 0.001635
10000000, 256, 100, 0.002074
10000000, 256, 128, 0.002617
10000000, 256, 200, 0.003757
10000000, 256, 256, 0.004733
10000000, 256, 400, 0.005912
10000000, 256, 512, 0.006904
10000000, 256, 750, 0.009526
10000000, 256, 1024, 0.012801
10000000, 512, 32, 0.001685
10000000, 512, 50, 0.002082
10000000, 512, 64, 0.002523
10000000, 512, 100, 0.003725
10000000, 512, 128, 0.005154
10000000, 512, 200, 0.005834
10000000, 512, 256, 0.007323
10000000, 512, 400, 0.010429
10000000, 512, 512, 0.012997
10000000, 512, 750, 0.017517
10000000, 512, 1024, 0.024238
10000000, 1024, 32, 0.002830
10000000, 1024, 50, 0.003646
10000000, 1024, 64, 0.005075
10000000, 1024, 100, 0.006392
10000000, 1024, 128, 0.007413
10000000, 1024, 200, 0.011052
10000000, 1024, 256, 0.013910
10000000, 1024, 400, 0.019751
10000000, 1024, 512, 0.025335
10000000, 1024, 750, 0.035224
10000000, 1024, 1024, 0.043006
10000000, 2048, 32, 0.000534
10000000, 2048, 50, 0.000522
10000000, 2048, 64, 0.000531
10000000, 2048, 100, 0.000529
10000000, 2048, 128, 0.000524
10000000, 2048, 200, 0.000530
10000000, 2048, 256, 0.000524
10000000, 2048, 400, 0.000518
10000000, 2048, 512, 0.000540
10000000, 2048, 750, 0.000521
10000000, 2048, 1024, 0.000519
10000000, 4096, 32, 0.000518
10000000, 4096, 50, 0.000519
10000000, 4096, 64, 0.000529
10000000, 4096, 100, 0.000535
10000000, 4096, 128, 0.000528
10000000, 4096, 200, 0.000520
10000000, 4096, 256, 0.000527
10000000, 4096, 400, 0.000526
10000000, 4096, 512, 0.000520
10000000, 4096, 750, 0.000523
10000000, 4096, 1024, 0.000524
10000000, 8192, 32, 0.000523
10000000, 8192, 50, 0.000515
10000000, 8192, 64, 0.000524
10000000, 8192, 100, 0.000527
10000000, 8192, 128, 0.000524
10000000, 8192, 200, 0.000523
10000000, 8192, 256, 0.000527
10000000, 8192, 400, 0.000520
10000000, 8192, 512, 0.000528
10000000, 8192, 750, 0.000524
10000000, 8192, 1024, 0.000521
10000000, 16384, 32, 0.000518
10000000, 16384, 50, 0.000527
10000000, 16384, 64, 0.000520
10000000, 16384, 100, 0.000521
10000000, 16384, 128, 0.000524
10000000, 16384, 200, 0.000535
10000000, 16384, 256, 0.000521
10000000, 16384, 400, 0.000517
10000000, 16384, 512, 0.000518
10000000, 16384, 750, 0.000524
10000000, 16384, 1024, 0.000526
10000000, 32768, 32, 0.000528
10000000, 32768, 50, 0.000536
10000000, 32768, 64, 0.000528
10000000, 32768, 100, 0.000537
10000000, 32768, 128, 0.000515
10000000, 32768, 200, 0.000524
10000000, 32768, 256, 0.000533
10000000, 32768, 400, 0.000525
10000000, 32768, 512, 0.000511
10000000, 32768, 750, 0.000523
10000000, 32768, 1024, 0.000529
10000000, 32, 32, 0.001291
10000000, 32, 50, 0.001152
10000000, 32, 64, 0.001104
10000000, 32, 100, 0.001081
10000000, 32, 128, 0.001153
10000000, 32, 200, 0.001161
10000000, 32, 256, 0.001188
10000000, 32, 400, 0.001423
10000000, 32, 512, 0.001629
10000000, 32, 750, 0.002057
10000000, 32, 1024, 0.002490
10000000, 64, 32, 0.001122
10000000, 64, 50, 0.001078
10000000, 64, 64, 0.001122
10000000, 64, 100, 0.001108
10000000, 64, 128, 0.001192
10000000, 64, 200, 0.001437
10000000, 64, 256, 0.001608
10000000, 64, 400, 0.002183
10000000, 64, 512, 0.002670
10000000, 64, 750, 0.003527
10000000, 64, 1024, 0.004790
10000000, 128, 32, 0.001119
10000000, 128, 50, 0.001108
10000000, 128, 64, 0.001219
10000000, 128, 100, 0.001456
10000000, 128, 128, 0.001638
10000000, 128, 200, 0.002108
10000000, 128, 256, 0.002645
10000000, 128, 400, 0.003774
10000000, 128, 512, 0.004709
10000000, 128, 750, 0.005464
10000000, 128, 1024, 0.007144
10000000, 256, 32, 0.001228
10000000, 256, 50, 0.001379
10000000, 256, 64, 0.001637
10000000, 256, 100, 0.002077
10000000, 256, 128, 0.002692
10000000, 256, 200, 0.003739
10000000, 256, 256, 0.004606
10000000, 256, 400, 0.005960
10000000, 256, 512, 0.007102
10000000, 256, 750, 0.009701
10000000, 256, 1024, 0.012855
10000000, 512, 32, 0.001723
10000000, 512, 50, 0.002139
10000000, 512, 64, 0.002577
10000000, 512, 100, 0.003869
10000000, 512, 128, 0.004704
10000000, 512, 200, 0.005845
10000000, 512, 256, 0.007357
10000000, 512, 400, 0.010513
10000000, 512, 512, 0.013043
10000000, 512, 750, 0.017703
10000000, 512, 1024, 0.024196
10000000, 1024, 32, 0.002794
10000000, 1024, 50, 0.003778
10000000, 1024, 64, 0.005026
10000000, 1024, 100, 0.006442
10000000, 1024, 128, 0.007726
10000000, 1024, 200, 0.010609
10000000, 1024, 256, 0.013902
10000000, 1024, 400, 0.019772
10000000, 1024, 512, 0.025441
10000000, 1024, 750, 0.035858
10000000, 1024, 1024, 0.042870
10000000, 2048, 32, 0.000517
10000000, 2048, 50, 0.000518
10000000, 2048, 64, 0.000536
10000000, 2048, 100, 0.000516
10000000, 2048, 128, 0.000519
10000000, 2048, 200, 0.000521
10000000, 2048, 256, 0.000516
10000000, 2048, 400, 0.000522
10000000, 2048, 512, 0.000518
10000000, 2048, 750, 0.000518
10000000, 2048, 1024, 0.000521
10000000, 4096, 32, 0.000521
10000000, 4096, 50, 0.000523
10000000, 4096, 64, 0.000522
10000000, 4096, 100, 0.000522
