elements,blocks,threadsPerBlock,GPU,total global memory(KB),clock rate(KHz),multiprocessor count,async engine count,memory bus width,memory clock rate (KHz),L2 cache size (bytes),max threads per SM
10000,32,32,0.000556,11268608,1635000,68,3,352,7000000,5767168,1024
10000,32,50,0.000509,11268608,1635000,68,3,352,7000000,5767168,1024
10000,32,64,0.000424,11268608,1635000,68,3,352,7000000,5767168,1024
10000,32,100,0.00051,11268608,1635000,68,3,352,7000000,5767168,1024
10000,32,128,0.000573,11268608,1635000,68,3,352,7000000,5767168,1024
10000,32,200,0.00056,11268608,1635000,68,3,352,7000000,5767168,1024
10000,32,256,0.00054,11268608,1635000,68,3,352,7000000,5767168,1024
10000,32,400,0.000616,11268608,1635000,68,3,352,7000000,5767168,1024
10000,32,512,0.000443,11268608,1635000,68,3,352,7000000,5767168,1024
10000,32,750,0.000648,11268608,1635000,68,3,352,7000000,5767168,1024
10000,32,1024,0.000563,11268608,1635000,68,3,352,7000000,5767168,1024
10000,64,32,0.000577,11268608,1635000,68,3,352,7000000,5767168,1024
10000,64,50,0.000522,11268608,1635000,68,3,352,7000000,5767168,1024
10000,64,64,0.000582,11268608,1635000,68,3,352,7000000,5767168,1024
10000,64,100,0.000473,11268608,1635000,68,3,352,7000000,5767168,1024
10000,64,128,0.000431,11268608,1635000,68,3,352,7000000,5767168,1024
10000,64,200,0.000631,11268608,1635000,68,3,352,7000000,5767168,1024
10000,64,256,0.000462,11268608,1635000,68,3,352,7000000,5767168,1024
10000,64,400,0.000528,11268608,1635000,68,3,352,7000000,5767168,1024
10000,64,512,0.000558,11268608,1635000,68,3,352,7000000,5767168,1024
10000,64,750,0.000466,11268608,1635000,68,3,352,7000000,5767168,1024
10000,64,1024,0.000819,11268608,1635000,68,3,352,7000000,5767168,1024
10000,128,32,0.000443,11268608,1635000,68,3,352,7000000,5767168,1024
10000,128,50,0.000527,11268608,1635000,68,3,352,7000000,5767168,1024
10000,128,64,0.000463,11268608,1635000,68,3,352,7000000,5767168,1024
10000,128,100,0.000637,11268608,1635000,68,3,352,7000000,5767168,1024
10000,128,128,0.000565,11268608,1635000,68,3,352,7000000,5767168,1024
10000,128,200,0.00057,11268608,1635000,68,3,352,7000000,5767168,1024
10000,128,256,0.000505,11268608,1635000,68,3,352,7000000,5767168,1024
10000,128,400,0.000416,11268608,1635000,68,3,352,7000000,5767168,1024
10000,128,512,0.000483,11268608,1635000,68,3,352,7000000,5767168,1024
10000,128,750,0.000528,11268608,1635000,68,3,352,7000000,5767168,1024
10000,128,1024,0.000487,11268608,1635000,68,3,352,7000000,5767168,1024
10000,256,32,0.000545,11268608,1635000,68,3,352,7000000,5767168,1024
10000,256,50,0.000683,11268608,1635000,68,3,352,7000000,5767168,1024
10000,256,64,0.000575,11268608,1635000,68,3,352,7000000,5767168,1024
10000,256,100,0.000574,11268608,1635000,68,3,352,7000000,5767168,1024
10000,256,128,0.000552,11268608,1635000,68,3,352,7000000,5767168,1024
10000,256,200,0.000483,11268608,1635000,68,3,352,7000000,5767168,1024
10000,256,256,0.000536,11268608,1635000,68,3,352,7000000,5767168,1024
10000,256,400,0.000445,11268608,1635000,68,3,352,7000000,5767168,1024
10000,256,512,0.000532,11268608,1635000,68,3,352,7000000,5767168,1024
10000,256,750,0.00054,11268608,1635000,68,3,352,7000000,5767168,1024
10000,256,1024,0.000603,11268608,1635000,68,3,352,7000000,5767168,1024
10000,512,32,0.000533,11268608,1635000,68,3,352,7000000,5767168,1024
10000,512,50,0.00052,11268608,1635000,68,3,352,7000000,5767168,1024
10000,512,64,0.000457,11268608,1635000,68,3,352,7000000,5767168,1024
10000,512,100,0.000601,11268608,1635000,68,3,352,7000000,5767168,1024
10000,512,128,0.000506,11268608,1635000,68,3,352,7000000,5767168,1024
10000,512,200,0.000499,11268608,1635000,68,3,352,7000000,5767168,1024
