elements,blocks,threadsPerBlock,GPU
10000000, 32, 32, 0.030243
10000000, 32, 64, 0.028525
10000000, 32, 100, 0.027921
10000000, 32, 128, 0.027661
10000000, 32, 200, 0.027251
10000000, 32, 256, 0.027051
10000000, 32, 400, 0.027418
10000000, 32, 512, 0.027093
10000000, 32, 750, 0.027356
10000000, 32, 1024, 0.027383
10000000, 64, 32, 0.028451
10000000, 64, 64, 0.027588
10000000, 64, 100, 0.027763
10000000, 64, 128, 0.027273
10000000, 64, 200, 0.026951
10000000, 64, 256, 0.026485
10000000, 64, 400, 0.026521
10000000, 64, 512, 0.026895
10000000, 64, 750, 0.026985
10000000, 64, 1024, 0.026738
10000000, 128, 32, 0.027245
10000000, 128, 64, 0.026562
10000000, 128, 100, 0.026769
10000000, 128, 128, 0.026464
10000000, 128, 200, 0.027006
10000000, 128, 256, 0.026531
10000000, 128, 400, 0.026954
10000000, 128, 512, 0.026899
10000000, 128, 750, 0.026543
10000000, 128, 1024, 0.026892
10000000, 256, 32, 0.026527
10000000, 256, 64, 0.026911
10000000, 256, 100, 0.026701
10000000, 256, 128, 0.026976
10000000, 256, 200, 0.026502
10000000, 256, 256, 0.026917
10000000, 256, 400, 0.026951
10000000, 256, 512, 0.026619
10000000, 256, 750, 0.026958
10000000, 256, 1024, 0.026847
10000000, 512, 32, 0.026548
10000000, 512, 64, 0.026547
10000000, 512, 100, 0.026652
10000000, 512, 128, 0.026899
10000000, 512, 200, 0.026945
10000000, 512, 256, 0.026601
10000000, 512, 400, 0.026609
10000000, 512, 512, 0.026898
10000000, 512, 750, 0.026626
10000000, 512, 1024, 0.026720
10000000, 1024, 32, 0.026918
10000000, 1024, 64, 0.026484
10000000, 1024, 100, 0.026535
10000000, 1024, 128, 0.027069
10000000, 1024, 200, 0.026640
10000000, 1024, 256, 0.026991
10000000, 1024, 400, 0.026890
10000000, 1024, 512, 0.026528
10000000, 1024, 750, 0.026516
10000000, 1024, 1024, 0.026441
10000000, 2048, 32, 0.026526
10000000, 2048, 64, 0.026887
10000000, 2048, 100, 0.026732
10000000, 2048, 128, 0.026999
10000000, 2048, 200, 0.026447
10000000, 2048, 256, 0.026913
10000000, 2048, 400, 0.026498
10000000, 2048, 512, 0.026506
10000000, 2048, 750, 0.026504
10000000, 2048, 1024, 0.026480
10000000, 4096, 32, 0.026921
10000000, 4096, 64, 0.026863
10000000, 4096, 100, 0.026722
10000000, 4096, 128, 0.026898
10000000, 4096, 200, 0.026878
10000000, 4096, 256, 0.027060
10000000, 4096, 400, 0.026437
10000000, 4096, 512, 0.026443
10000000, 4096, 750, 0.026537
10000000, 4096, 1024, 0.026646
10000000, 8192, 32, 0.026445
10000000, 8192, 64, 0.026507
10000000, 8192, 100, 0.026580
10000000, 8192, 128, 0.026504
10000000, 8192, 200, 0.026602
10000000, 8192, 256, 0.026857
10000000, 8192, 400, 0.026834
10000000, 8192, 512, 0.026845
10000000, 8192, 750, 0.026421
10000000, 8192, 1024, 0.026852
10000000, 16384, 32, 0.026434
10000000, 16384, 64, 0.026978
10000000, 16384, 100, 0.026879
10000000, 16384, 128, 0.026678
10000000, 16384, 200, 0.026463
10000000, 16384, 256, 0.026480
10000000, 16384, 400, 0.026674
10000000, 16384, 512, 0.026405
10000000, 16384, 750, 0.026530
10000000, 16384, 1024, 0.026724
10000000, 32768, 32, 0.026682
10000000, 32768, 64, 0.026526
10000000, 32768, 100, 0.026711
10000000, 32768, 128, 0.026499
10000000, 32768, 200, 0.026494
10000000, 32768, 256, 0.026441
10000000, 32768, 400, 0.026389
10000000, 32768, 512, 0.026572
10000000, 32768, 750, 0.026592
10000000, 32768, 1024, 0.026646
10000000, 32, 32, 0.030272
10000000, 32, 64, 0.027906
10000000, 32, 100, 0.027296
10000000, 32, 128, 0.026967
10000000, 32, 200, 0.026699
10000000, 32, 256, 0.026625
10000000, 32, 400, 0.026685
10000000, 32, 512, 0.026537
10000000, 32, 750, 0.026561
10000000, 32, 1024, 0.026494
10000000, 64, 32, 0.028095
10000000, 64, 64, 0.027068
10000000, 64, 100, 0.026706
10000000, 64, 128, 0.026764
10000000, 64, 200, 0.026778
10000000, 64, 256, 0.026515
10000000, 64, 400, 0.026534
10000000, 64, 512, 0.026513
10000000, 64, 750, 0.027041
10000000, 64, 1024, 0.026475
10000000, 128, 32, 0.026997
10000000, 128, 64, 0.026490
10000000, 128, 100, 0.026604
10000000, 128, 128, 0.026476
10000000, 128, 200, 0.026799
10000000, 128, 256, 0.027423
10000000, 128, 400, 0.027029
10000000, 128, 512, 0.026474
10000000, 128, 750, 0.026608
10000000, 128, 1024, 0.026489
10000000, 256, 32, 0.026779
10000000, 256, 64, 0.026893
10000000, 256, 100, 0.026586
10000000, 256, 128, 0.026529
10000000, 256, 200, 0.026804
10000000, 256, 256, 0.026677
10000000, 256, 400, 0.026497
10000000, 256, 512, 0.026723
10000000, 256, 750, 0.026717
10000000, 256, 1024, 0.026727
10000000, 512, 32, 0.026475
10000000, 512, 64, 0.027160
10000000, 512, 100, 0.027583
10000000, 512, 128, 0.027031
10000000, 512, 200, 0.027086
10000000, 512, 256, 0.026959
10000000, 512, 400, 0.026978
10000000, 512, 512, 0.027467
10000000, 512, 750, 0.026998
10000000, 512, 1024, 0.026967
10000000, 1024, 32, 0.027127
10000000, 1024, 64, 0.027064
10000000, 1024, 100, 0.027106
10000000, 1024, 128, 0.027025
10000000, 1024, 200, 0.027060
10000000, 1024, 256, 0.027369
10000000, 1024, 400, 0.027069
10000000, 1024, 512, 0.027414
10000000, 1024, 750, 0.027071
10000000, 1024, 1024, 0.027316
10000000, 2048, 32, 0.027486
10000000, 2048, 64, 0.027242
10000000, 2048, 100, 0.027389
10000000, 2048, 128, 0.027020
10000000, 2048, 200, 0.027137
10000000, 2048, 256, 0.027349
10000000, 2048, 400, 0.027368
10000000, 2048, 512, 0.027332
10000000, 2048, 750, 0.027353
10000000, 2048, 1024, 0.027256
10000000, 4096, 32, 0.027349
10000000, 4096, 64, 0.027025
10000000, 4096, 100, 0.027050
10000000, 4096, 128, 0.027277
10000000, 4096, 200, 0.027070
10000000, 4096, 256, 0.026975
10000000, 4096, 400, 0.027431
10000000, 4096, 512, 0.027452
10000000, 4096, 750, 0.026943
10000000, 4096, 1024, 0.027350
10000000, 8192, 32, 0.027149
