elements,TILE_WIDTH,threadsPerBlock,blocks,GPU
100000,8,64,156250000,0.756480
100000,8,64,156250000,0.767396
100000,8,64,156250000,0.815367
100000,8,64,156250000,0.792626
100000,8,64,156250000,0.767329
100000,8,64,156250000,0.760063
100000,8,64,156250000,0.778280
100000,8,64,156250000,0.770459
100000,8,64,156250000,0.777016
100000,8,64,156250000,0.757831
100000,8,64,156250000,0.775925
100000,8,64,156250000,0.773427
100000,8,64,156250000,0.775265
100000,8,64,156250000,0.746667
100000,8,64,156250000,0.784079
100000,8,64,156250000,0.771468
100000,8,64,156250000,0.858548
100000,8,64,156250000,0.774794
100000,8,64,156250000,0.795455
100000,8,64,156250000,0.842504
100000,16,256,39062500,0.779170
100000,16,256,39062500,0.781664
100000,16,256,39062500,0.806000
100000,16,256,39062500,0.798398
100000,16,256,39062500,0.870749
100000,16,256,39062500,0.791823
100000,16,256,39062500,0.784904
100000,16,256,39062500,0.800080
100000,16,256,39062500,0.801114
100000,16,256,39062500,0.801378
100000,16,256,39062500,0.857987
100000,16,256,39062500,0.788772
100000,16,256,39062500,0.787938
100000,16,256,39062500,0.816472
100000,16,256,39062500,0.847653
100000,16,256,39062500,1.176705
100000,16,256,39062500,0.809527
100000,16,256,39062500,0.824025
100000,16,256,39062500,0.792419
100000,16,256,39062500,0.762494
100000,24,576,17363889,0.782335
100000,24,576,17363889,0.800212
100000,24,576,17363889,0.780014
100000,24,576,17363889,0.795265
100000,24,576,17363889,0.797862
100000,24,576,17363889,0.793327
100000,24,576,17363889,0.802436
100000,24,576,17363889,0.814124
100000,24,576,17363889,0.795780
100000,24,576,17363889,0.813973
100000,24,576,17363889,0.798254
100000,24,576,17363889,0.785214
100000,24,576,17363889,0.804433
100000,24,576,17363889,0.781254
100000,24,576,17363889,0.790440
100000,24,576,17363889,0.801169
100000,24,576,17363889,0.856220
100000,24,576,17363889,0.802649
100000,24,576,17363889,0.792824
100000,24,576,17363889,0.793751
100000,32,1024,9765625,0.792628
100000,32,1024,9765625,0.793856
100000,32,1024,9765625,0.795400
100000,32,1024,9765625,0.786543
100000,32,1024,9765625,0.797977
100000,32,1024,9765625,0.882537
100000,32,1024,9765625,0.851026
100000,32,1024,9765625,0.886175
100000,32,1024,9765625,0.786398
100000,32,1024,9765625,0.817943
100000,32,1024,9765625,0.823688
100000,32,1024,9765625,0.795081
100000,32,1024,9765625,0.803131
100000,32,1024,9765625,0.786784
100000,32,1024,9765625,0.826741
100000,32,1024,9765625,0.785489
100000,32,1024,9765625,0.787053
100000,32,1024,9765625,0.831523
100000,32,1024,9765625,0.768645
100000,32,1024,9765625,0.789587
100000,50,2500,4000000,0.791304
100000,50,2500,4000000,0.793259
100000,50,2500,4000000,0.773984
100000,50,2500,4000000,0.782308
100000,50,2500,4000000,0.841623
