elements,threadsPerBlock,blocks,GPU,total global memory(KB),clock rate(KHz),multiprocessor count,async engine count,memory bus width,memory clock rate (KHz),L2 cache size (bytes),max threads per SM
10240,64,1,0.497632,11268608,1635000,68,3,352,7000000,5767168,1024
10240,64,2,0.431661,11268608,1635000,68,3,352,7000000,5767168,1024
10240,64,4,0.416547,11268608,1635000,68,3,352,7000000,5767168,1024
10240,64,8,0.415089,11268608,1635000,68,3,352,7000000,5767168,1024
10240,64,16,0.414035,11268608,1635000,68,3,352,7000000,5767168,1024
10240,64,32,0.414308,11268608,1635000,68,3,352,7000000,5767168,1024
10240,64,64,0.413862,11268608,1635000,68,3,352,7000000,5767168,1024
10240,64,128,0.416641,11268608,1635000,68,3,352,7000000,5767168,1024
10240,64,256,0.419926,11268608,1635000,68,3,352,7000000,5767168,1024
10240,64,450,0.427578,11268608,1635000,68,3,352,7000000,5767168,1024
10240,64,512,0.433811,11268608,1635000,68,3,352,7000000,5767168,1024
10240,64,800,0.432813,11268608,1635000,68,3,352,7000000,5767168,1024
10240,64,1024,0.427258,11268608,1635000,68,3,352,7000000,5767168,1024
10240,64,1500,0.428371,11268608,1635000,68,3,352,7000000,5767168,1024
10240,128,1,0.410306,11268608,1635000,68,3,352,7000000,5767168,1024
10240,128,2,0.418812,11268608,1635000,68,3,352,7000000,5767168,1024
10240,128,4,0.416898,11268608,1635000,68,3,352,7000000,5767168,1024
10240,128,8,0.419349,11268608,1635000,68,3,352,7000000,5767168,1024
10240,128,16,0.416963,11268608,1635000,68,3,352,7000000,5767168,1024
10240,128,32,0.421339,11268608,1635000,68,3,352,7000000,5767168,1024
10240,128,64,0.417406,11268608,1635000,68,3,352,7000000,5767168,1024
10240,128,128,0.429429,11268608,1635000,68,3,352,7000000,5767168,1024
10240,128,256,0.428138,11268608,1635000,68,3,352,7000000,5767168,1024
10240,128,450,0.429473,11268608,1635000,68,3,352,7000000,5767168,1024
10240,128,512,0.428033,11268608,1635000,68,3,352,7000000,5767168,1024
10240,128,800,0.441117,11268608,1635000,68,3,352,7000000,5767168,1024
10240,128,1024,0.429728,11268608,1635000,68,3,352,7000000,5767168,1024
10240,128,1500,0.430234,11268608,1635000,68,3,352,7000000,5767168,1024
10240,256,1,0.422491,11268608,1635000,68,3,352,7000000,5767168,1024
10240,256,2,0.428807,11268608,1635000,68,3,352,7000000,5767168,1024
10240,256,4,0.431831,11268608,1635000,68,3,352,7000000,5767168,1024
10240,256,8,0.427716,11268608,1635000,68,3,352,7000000,5767168,1024
10240,256,16,0.429983,11268608,1635000,68,3,352,7000000,5767168,1024
10240,256,32,0.427694,11268608,1635000,68,3,352,7000000,5767168,1024
10240,256,64,0.431739,11268608,1635000,68,3,352,7000000,5767168,1024
10240,256,128,0.428455,11268608,1635000,68,3,352,7000000,5767168,1024
10240,256,256,0.458856,11268608,1635000,68,3,352,7000000,5767168,1024
10240,256,450,0.456717,11268608,1635000,68,3,352,7000000,5767168,1024
10240,256,512,0.457237,11268608,1635000,68,3,352,7000000,5767168,1024
10240,256,800,0.456069,11268608,1635000,68,3,352,7000000,5767168,1024
10240,256,1024,0.454436,11268608,1635000,68,3,352,7000000,5767168,1024
10240,256,1500,0.457526,11268608,1635000,68,3,352,7000000,5767168,1024
10240,400,1,0.434822,11268608,1635000,68,3,352,7000000,5767168,1024
10240,400,2,0.441578,11268608,1635000,68,3,352,7000000,5767168,1024
10240,400,4,0.439359,11268608,1635000,68,3,352,7000000,5767168,1024
10240,400,8,0.440308,11268608,1635000,68,3,352,7000000,5767168,1024
10240,400,16,0.441471,11268608,1635000,68,3,352,7000000,5767168,1024
10240,400,32,0.442083,11268608,1635000,68,3,352,7000000,5767168,1024
10240,400,64,0.441608,11268608,1635000,68,3,352,7000000,5767168,1024
10240,400,128,0.442641,11268608,1635000,68,3,352,7000000,5767168,1024
10240,400,256,0.545902,11268608,1635000,68,3,352,7000000,5767168,1024
10240,400,450,0.544939,11268608,1635000,68,3,352,7000000,5767168,1024
10240,400,512,0.543065,11268608,1635000,68,3,352,7000000,5767168,1024
10240,400,800,0.543168,11268608,1635000,68,3,352,7000000,5767168,1024
10240,400,1024,0.543962,11268608,1635000,68,3,352,7000000,5767168,1024
10240,400,1500,0.544301,11268608,1635000,68,3,352,7000000,5767168,1024
10240,512,1,0.456431,11268608,1635000,68,3,352,7000000,5767168,1024
10240,512,2,0.461194,11268608,1635000,68,3,352,7000000,5767168,1024
10240,512,4,0.465149,11268608,1635000,68,3,352,7000000,5767168,1024
10240,512,8,0.461777,11268608,1635000,68,3,352,7000000,5767168,1024
10240,512,16,0.460862,11268608,1635000,68,3,352,7000000,5767168,1024
10240,512,32,0.46485,11268608,1635000,68,3,352,7000000,5767168,1024
10240,512,64,0.46192,11268608,1635000,68,3,352,7000000,5767168,1024
10240,512,128,0.464082,11268608,1635000,68,3,352,7000000,5767168,1024
10240,512,256,0.616903,11268608,1635000,68,3,352,7000000,5767168,1024
10240,512,450,0.608829,11268608,1635000,68,3,352,7000000,5767168,1024
10240,512,512,0.607891,11268608,1635000,68,3,352,7000000,5767168,1024
10240,512,800,0.607582,11268608,1635000,68,3,352,7000000,5767168,1024
10240,512,1024,0.606775,11268608,1635000,68,3,352,7000000,5767168,1024
10240,512,1500,0.609357,11268608,1635000,68,3,352,7000000,5767168,1024
10240,800,1,0.519024,11268608,1635000,68,3,352,7000000,5767168,1024
10240,800,2,0.522121,11268608,1635000,68,3,352,7000000,5767168,1024
10240,800,4,0.52281,11268608,1635000,68,3,352,7000000,5767168,1024
10240,800,8,0.522945,11268608,1635000,68,3,352,7000000,5767168,1024
10240,800,16,0.529308,11268608,1635000,68,3,352,7000000,5767168,1024
10240,800,32,0.524762,11268608,1635000,68,3,352,7000000,5767168,1024
10240,800,64,0.524712,11268608,1635000,68,3,352,7000000,5767168,1024
10240,800,128,0.523472,11268608,1635000,68,3,352,7000000,5767168,1024
10240,800,256,0.523277,11268608,1635000,68,3,352,7000000,5767168,1024
10240,800,450,0.521175,11268608,1635000,68,3,352,7000000,5767168,1024
10240,800,512,0.52168,11268608,1635000,68,3,352,7000000,5767168,1024
10240,800,800,0.523798,11268608,1635000,68,3,352,7000000,5767168,1024
10240,800,1024,0.523315,11268608,1635000,68,3,352,7000000,5767168,1024
10240,800,1500,0.531493,11268608,1635000,68,3,352,7000000,5767168,1024
10240,1024,1,0.579301,11268608,1635000,68,3,352,7000000,5767168,1024
10240,1024,2,0.588471,11268608,1635000,68,3,352,7000000,5767168,1024
10240,1024,4,0.592911,11268608,1635000,68,3,352,7000000,5767168,1024
10240,1024,8,0.591126,11268608,1635000,68,3,352,7000000,5767168,1024
10240,1024,16,0.598056,11268608,1635000,68,3,352,7000000,5767168,1024
10240,1024,32,0.593992,11268608,1635000,68,3,352,7000000,5767168,1024
10240,1024,64,0.591949,11268608,1635000,68,3,352,7000000,5767168,1024
10240,1024,128,0.59284,11268608,1635000,68,3,352,7000000,5767168,1024
10240,1024,256,0.592016,11268608,1635000,68,3,352,7000000,5767168,1024
10240,1024,450,0.592448,11268608,1635000,68,3,352,7000000,5767168,1024
10240,1024,512,0.594353,11268608,1635000,68,3,352,7000000,5767168,1024
10240,1024,800,0.591683,11268608,1635000,68,3,352,7000000,5767168,1024
10240,1024,1024,0.591218,11268608,1635000,68,3,352,7000000,5767168,1024
10240,1024,1500,0.592106,11268608,1635000,68,3,352,7000000,5767168,1024
20480,64,1,0.683309,11268608,1635000,68,3,352,7000000,5767168,1024
20480,64,2,0.694044,11268608,1635000,68,3,352,7000000,5767168,1024
20480,64,4,0.69311,11268608,1635000,68,3,352,7000000,5767168,1024
20480,64,8,0.694173,11268608,1635000,68,3,352,7000000,5767168,1024
20480,64,16,0.693124,11268608,1635000,68,3,352,7000000,5767168,1024
20480,64,32,0.696217,11268608,1635000,68,3,352,7000000,5767168,1024
20480,64,64,0.703838,11268608,1635000,68,3,352,7000000,5767168,1024
20480,64,128,0.703735,11268608,1635000,68,3,352,7000000,5767168,1024
20480,64,256,0.730145,11268608,1635000,68,3,352,7000000,5767168,1024
20480,64,450,0.76179,11268608,1635000,68,3,352,7000000,5767168,1024
20480,64,512,0.757556,11268608,1635000,68,3,352,7000000,5767168,1024
20480,64,800,0.758617,11268608,1635000,68,3,352,7000000,5767168,1024
20480,64,1024,0.762036,11268608,1635000,68,3,352,7000000,5767168,1024
20480,64,1500,0.758489,11268608,1635000,68,3,352,7000000,5767168,1024
20480,128,1,0.701374,11268608,1635000,68,3,352,7000000,5767168,1024
20480,128,2,0.709197,11268608,1635000,68,3,352,7000000,5767168,1024
20480,128,4,0.712356,11268608,1635000,68,3,352,7000000,5767168,1024
20480,128,8,0.708828,11268608,1635000,68,3,352,7000000,5767168,1024
20480,128,16,0.708978,11268608,1635000,68,3,352,7000000,5767168,1024
20480,128,32,0.711634,11268608,1635000,68,3,352,7000000,5767168,1024
20480,128,64,0.715227,11268608,1635000,68,3,352,7000000,5767168,1024
20480,128,128,0.732443,11268608,1635000,68,3,352,7000000,5767168,1024
20480,128,256,0.755004,11268608,1635000,68,3,352,7000000,5767168,1024
20480,128,450,0.77691,11268608,1635000,68,3,352,7000000,5767168,1024
20480,128,512,0.785565,11268608,1635000,68,3,352,7000000,5767168,1024
20480,128,800,0.782522,11268608,1635000,68,3,352,7000000,5767168,1024
20480,128,1024,0.783428,11268608,1635000,68,3,352,7000000,5767168,1024
20480,128,1500,0.777878,11268608,1635000,68,3,352,7000000,5767168,1024
20480,256,1,1.902185,11268608,1635000,68,3,352,7000000,5767168,1024
20480,256,2,1.003874,11268608,1635000,68,3,352,7000000,5767168,1024
20480,256,4,1.869055,11268608,1635000,68,3,352,7000000,5767168,1024
20480,256,8,1.881099,11268608,1635000,68,3,352,7000000,5767168,1024
20480,256,16,1.924388,11268608,1635000,68,3,352,7000000,5767168,1024
20480,256,32,0.736161,11268608,1635000,68,3,352,7000000,5767168,1024
20480,256,64,0.736233,11268608,1635000,68,3,352,7000000,5767168,1024
20480,256,128,0.77913,11268608,1635000,68,3,352,7000000,5767168,1024
20480,256,256,0.791524,11268608,1635000,68,3,352,7000000,5767168,1024
20480,256,450,0.787105,11268608,1635000,68,3,352,7000000,5767168,1024
20480,256,512,0.786637,11268608,1635000,68,3,352,7000000,5767168,1024
20480,256,800,0.796465,11268608,1635000,68,3,352,7000000,5767168,1024
20480,256,1024,0.787624,11268608,1635000,68,3,352,7000000,5767168,1024
20480,256,1500,0.791813,11268608,1635000,68,3,352,7000000,5767168,1024
20480,400,1,0.742298,11268608,1635000,68,3,352,7000000,5767168,1024
20480,400,2,0.754163,11268608,1635000,68,3,352,7000000,5767168,1024
20480,400,4,0.77087,11268608,1635000,68,3,352,7000000,5767168,1024
20480,400,8,0.755937,11268608,1635000,68,3,352,7000000,5767168,1024
20480,400,16,0.754139,11268608,1635000,68,3,352,7000000,5767168,1024
20480,400,32,0.757436,11268608,1635000,68,3,352,7000000,5767168,1024
20480,400,64,0.759725,11268608,1635000,68,3,352,7000000,5767168,1024
20480,400,128,0.76124,11268608,1635000,68,3,352,7000000,5767168,1024
20480,400,256,1.016234,11268608,1635000,68,3,352,7000000,5767168,1024
20480,400,450,1.013771,11268608,1635000,68,3,352,7000000,5767168,1024
20480,400,512,1.007774,11268608,1635000,68,3,352,7000000,5767168,1024
20480,400,800,1.005902,11268608,1635000,68,3,352,7000000,5767168,1024
20480,400,1024,1.00799,11268608,1635000,68,3,352,7000000,5767168,1024
20480,400,1500,1.011907,11268608,1635000,68,3,352,7000000,5767168,1024
20480,512,1,0.791973,11268608,1635000,68,3,352,7000000,5767168,1024
20480,512,2,0.804904,11268608,1635000,68,3,352,7000000,5767168,1024
20480,512,4,0.799463,11268608,1635000,68,3,352,7000000,5767168,1024
20480,512,8,0.799334,11268608,1635000,68,3,352,7000000,5767168,1024
20480,512,16,0.800322,11268608,1635000,68,3,352,7000000,5767168,1024
20480,512,32,0.798838,11268608,1635000,68,3,352,7000000,5767168,1024
20480,512,64,0.807694,11268608,1635000,68,3,352,7000000,5767168,1024
20480,512,128,0.805573,11268608,1635000,68,3,352,7000000,5767168,1024
20480,512,256,1.099471,11268608,1635000,68,3,352,7000000,5767168,1024
20480,512,450,1.096198,11268608,1635000,68,3,352,7000000,5767168,1024
20480,512,512,1.093421,11268608,1635000,68,3,352,7000000,5767168,1024
20480,512,800,1.095555,11268608,1635000,68,3,352,7000000,5767168,1024
20480,512,1024,1.094143,11268608,1635000,68,3,352,7000000,5767168,1024
20480,512,1500,1.095187,11268608,1635000,68,3,352,7000000,5767168,1024
20480,800,1,0.915904,11268608,1635000,68,3,352,7000000,5767168,1024
20480,800,2,0.922602,11268608,1635000,68,3,352,7000000,5767168,1024
20480,800,4,0.930603,11268608,1635000,68,3,352,7000000,5767168,1024
20480,800,8,0.92484,11268608,1635000,68,3,352,7000000,5767168,1024
20480,800,16,0.925934,11268608,1635000,68,3,352,7000000,5767168,1024
20480,800,32,0.927871,11268608,1635000,68,3,352,7000000,5767168,1024
20480,800,64,0.930352,11268608,1635000,68,3,352,7000000,5767168,1024
20480,800,128,0.926588,11268608,1635000,68,3,352,7000000,5767168,1024
20480,800,256,0.924847,11268608,1635000,68,3,352,7000000,5767168,1024
20480,800,450,0.927288,11268608,1635000,68,3,352,7000000,5767168,1024
20480,800,512,0.922518,11268608,1635000,68,3,352,7000000,5767168,1024
20480,800,800,0.924716,11268608,1635000,68,3,352,7000000,5767168,1024
20480,800,1024,0.92294,11268608,1635000,68,3,352,7000000,5767168,1024
20480,800,1500,0.926151,11268608,1635000,68,3,352,7000000,5767168,1024
20480,1024,1,1.039265,11268608,1635000,68,3,352,7000000,5767168,1024
20480,1024,2,1.055805,11268608,1635000,68,3,352,7000000,5767168,1024
20480,1024,4,1.06429,11268608,1635000,68,3,352,7000000,5767168,1024
20480,1024,8,1.065078,11268608,1635000,68,3,352,7000000,5767168,1024
20480,1024,16,1.062091,11268608,1635000,68,3,352,7000000,5767168,1024
20480,1024,32,1.063748,11268608,1635000,68,3,352,7000000,5767168,1024
20480,1024,64,1.063864,11268608,1635000,68,3,352,7000000,5767168,1024
20480,1024,128,1.06305,11268608,1635000,68,3,352,7000000,5767168,1024
20480,1024,256,1.072181,11268608,1635000,68,3,352,7000000,5767168,1024
20480,1024,450,1.06645,11268608,1635000,68,3,352,7000000,5767168,1024
20480,1024,512,1.062312,11268608,1635000,68,3,352,7000000,5767168,1024
20480,1024,800,1.065644,11268608,1635000,68,3,352,7000000,5767168,1024
20480,1024,1024,1.064512,11268608,1635000,68,3,352,7000000,5767168,1024
20480,1024,1500,1.074404,11268608,1635000,68,3,352,7000000,5767168,1024
40960,64,1,1.252121,11268608,1635000,68,3,352,7000000,5767168,1024
40960,64,2,1.277324,11268608,1635000,68,3,352,7000000,5767168,1024
40960,64,4,1.278721,11268608,1635000,68,3,352,7000000,5767168,1024
40960,64,8,1.27729,11268608,1635000,68,3,352,7000000,5767168,1024
40960,64,16,1.279054,11268608,1635000,68,3,352,7000000,5767168,1024
40960,64,32,1.278123,11268608,1635000,68,3,352,7000000,5767168,1024
40960,64,64,1.2791,11268608,1635000,68,3,352,7000000,5767168,1024
40960,64,128,1.293567,11268608,1635000,68,3,352,7000000,5767168,1024
40960,64,256,1.337508,11268608,1635000,68,3,352,7000000,5767168,1024
40960,64,450,1.419631,11268608,1635000,68,3,352,7000000,5767168,1024
40960,64,512,1.488967,11268608,1635000,68,3,352,7000000,5767168,1024
40960,64,800,1.625642,11268608,1635000,68,3,352,7000000,5767168,1024
40960,64,1024,1.618363,11268608,1635000,68,3,352,7000000,5767168,1024
40960,64,1500,1.62043,11268608,1635000,68,3,352,7000000,5767168,1024
40960,128,1,1.279839,11268608,1635000,68,3,352,7000000,5767168,1024
40960,128,2,1.295702,11268608,1635000,68,3,352,7000000,5767168,1024
40960,128,4,1.293346,11268608,1635000,68,3,352,7000000,5767168,1024
40960,128,8,1.291761,11268608,1635000,68,3,352,7000000,5767168,1024
40960,128,16,1.290416,11268608,1635000,68,3,352,7000000,5767168,1024
40960,128,32,1.292932,11268608,1635000,68,3,352,7000000,5767168,1024
40960,128,64,1.292123,11268608,1635000,68,3,352,7000000,5767168,1024
40960,128,128,1.339246,11268608,1635000,68,3,352,7000000,5767168,1024
40960,128,256,1.491157,11268608,1635000,68,3,352,7000000,5767168,1024
40960,128,450,1.904277,11268608,1635000,68,3,352,7000000,5767168,1024
40960,128,512,1.91149,11268608,1635000,68,3,352,7000000,5767168,1024
40960,128,800,1.913535,11268608,1635000,68,3,352,7000000,5767168,1024
40960,128,1024,1.914829,11268608,1635000,68,3,352,7000000,5767168,1024
40960,128,1500,1.914591,11268608,1635000,68,3,352,7000000,5767168,1024
40960,256,1,1.329832,11268608,1635000,68,3,352,7000000,5767168,1024
40960,256,2,1.348612,11268608,1635000,68,3,352,7000000,5767168,1024
40960,256,4,1.353766,11268608,1635000,68,3,352,7000000,5767168,1024
40960,256,8,1.410456,11268608,1635000,68,3,352,7000000,5767168,1024
40960,256,16,1.343586,11268608,1635000,68,3,352,7000000,5767168,1024
40960,256,32,1.335648,11268608,1635000,68,3,352,7000000,5767168,1024
40960,256,64,1.340772,11268608,1635000,68,3,352,7000000,5767168,1024
40960,256,128,1.511916,11268608,1635000,68,3,352,7000000,5767168,1024
40960,256,256,1.867457,11268608,1635000,68,3,352,7000000,5767168,1024
40960,256,450,2.244521,11268608,1635000,68,3,352,7000000,5767168,1024
40960,256,512,2.244542,11268608,1635000,68,3,352,7000000,5767168,1024
40960,256,800,2.24438,11268608,1635000,68,3,352,7000000,5767168,1024
40960,256,1024,2.249886,11268608,1635000,68,3,352,7000000,5767168,1024
40960,256,1500,2.254546,11268608,1635000,68,3,352,7000000,5767168,1024
40960,400,1,1.376739,11268608,1635000,68,3,352,7000000,5767168,1024
40960,400,2,1.399989,11268608,1635000,68,3,352,7000000,5767168,1024
40960,400,4,1.394769,11268608,1635000,68,3,352,7000000,5767168,1024
40960,400,8,1.394422,11268608,1635000,68,3,352,7000000,5767168,1024
40960,400,16,1.397355,11268608,1635000,68,3,352,7000000,5767168,1024
40960,400,32,1.395061,11268608,1635000,68,3,352,7000000,5767168,1024
40960,400,64,1.420278,11268608,1635000,68,3,352,7000000,5767168,1024
40960,400,128,1.993311,11268608,1635000,68,3,352,7000000,5767168,1024
40960,400,256,2.004326,11268608,1635000,68,3,352,7000000,5767168,1024
40960,400,450,2.011848,11268608,1635000,68,3,352,7000000,5767168,1024
40960,400,512,2.011852,11268608,1635000,68,3,352,7000000,5767168,1024
40960,400,800,2.008799,11268608,1635000,68,3,352,7000000,5767168,1024
40960,400,1024,2.014686,11268608,1635000,68,3,352,7000000,5767168,1024
40960,400,1500,2.06328,11268608,1635000,68,3,352,7000000,5767168,1024
40960,512,1,1.481648,11268608,1635000,68,3,352,7000000,5767168,1024
40960,512,2,1.524559,11268608,1635000,68,3,352,7000000,5767168,1024
40960,512,4,1.494391,11268608,1635000,68,3,352,7000000,5767168,1024
40960,512,8,1.490112,11268608,1635000,68,3,352,7000000,5767168,1024
40960,512,16,1.488328,11268608,1635000,68,3,352,7000000,5767168,1024
40960,512,32,1.487837,11268608,1635000,68,3,352,7000000,5767168,1024
40960,512,64,1.548731,11268608,1635000,68,3,352,7000000,5767168,1024
40960,512,128,2.117938,11268608,1635000,68,3,352,7000000,5767168,1024
40960,512,256,2.130101,11268608,1635000,68,3,352,7000000,5767168,1024
40960,512,450,2.140318,11268608,1635000,68,3,352,7000000,5767168,1024
