elements,threadsPerBlock,blocks,GPU
100000,64,1,2.796666
100000,64,1,2.796836
100000,64,1,2.790852
100000,64,1,2.795312
100000,64,1,2.792107
100000,64,1,2.960861
100000,64,1,2.799530
100000,64,1,2.821571
100000,64,1,2.797345
100000,64,1,2.791773
100000,64,1,2.800497
100000,64,1,2.837525
100000,64,1,2.810449
100000,64,1,2.840079
100000,64,1,2.841685
100000,64,1,2.812791
100000,64,1,2.811077
100000,64,1,3.269483
100000,64,1,3.789897
100000,64,1,3.786585
100000,64,2,3.567761
100000,64,2,2.873074
100000,64,2,2.871035
100000,64,2,2.875004
100000,64,2,2.913108
100000,64,2,2.971533
100000,64,2,2.898760
100000,64,2,2.898263
100000,64,2,2.901880
100000,64,2,2.901854
100000,64,2,2.893495
100000,64,2,2.898966
100000,64,2,2.894384
100000,64,2,2.902996
100000,64,2,2.893670
100000,64,2,2.900141
100000,64,2,2.893501
100000,64,2,2.895323
100000,64,2,2.895144
100000,64,2,2.897502
100000,64,4,2.897012
100000,64,4,2.902527
100000,64,4,2.901527
100000,64,4,2.898677
100000,64,4,2.896511
100000,64,4,3.047736
100000,64,4,2.903902
100000,64,4,2.899364
100000,64,4,2.912413
100000,64,4,2.903038
100000,64,4,2.902627
100000,64,4,2.898936
100000,64,4,2.902979
100000,64,4,2.902619
100000,64,4,2.900967
100000,64,4,2.932369
100000,64,4,2.901607
100000,64,4,2.901542
100000,64,4,2.902387
100000,64,4,2.899405
100000,64,8,2.896867
100000,64,8,2.899017
100000,64,8,2.901878
100000,64,8,2.904504
100000,64,8,2.923233
100000,64,8,3.102676
100000,64,8,2.937423
100000,64,8,2.900225
100000,64,8,2.904613
100000,64,8,2.899007
100000,64,8,2.904019
100000,64,8,2.923591
100000,64,8,2.923109
100000,64,8,2.922264
100000,64,8,2.923141
100000,64,8,2.919011
100000,64,8,2.923650
100000,64,8,2.919886
100000,64,8,2.923828
100000,64,8,2.925768
100000,64,16,2.920331
100000,64,16,4.637373
100000,64,16,3.700694
100000,64,16,3.701821
100000,64,16,3.723537
100000,64,16,3.695837
100000,64,16,3.692673
100000,64,16,2.985432
100000,64,16,2.927574
100000,64,16,2.916037
100000,64,16,2.927213
100000,64,16,2.922346
100000,64,16,2.925075
100000,64,16,2.925133
100000,64,16,2.943035
100000,64,16,2.919434
100000,64,16,2.926715
100000,64,16,2.918928
100000,64,16,2.929300
100000,64,16,3.185258
100000,64,32,3.752887
100000,64,32,3.742440
100000,64,32,3.414469
100000,64,32,3.033937
100000,64,32,2.922935
100000,64,32,2.924077
100000,64,32,2.927834
100000,64,32,2.915585
100000,64,32,2.917127
100000,64,32,2.915698
100000,64,32,2.919331
100000,64,32,2.918249
100000,64,32,2.923233
100000,64,32,2.916496
100000,64,32,2.916713
100000,64,32,2.916200
100000,64,32,2.916034
100000,64,32,2.916022
100000,64,32,2.921937
100000,64,32,2.915737
100000,64,64,2.916422
100000,64,64,2.916897
100000,64,64,4.517520
100000,64,64,4.978646
100000,64,64,3.677272
100000,64,64,3.686158
100000,64,64,3.039209
100000,64,64,2.938910
100000,64,64,2.934844
100000,64,64,2.938186
100000,64,64,2.934353
100000,64,64,2.934320
100000,64,64,2.959403
100000,64,64,2.934840
100000,64,64,2.936196
100000,64,64,2.934447
100000,64,64,2.934153
100000,64,64,2.934707
100000,64,64,2.934280
100000,64,64,2.942349
100000,64,128,2.971376
100000,64,128,3.092694
100000,64,128,2.981588
100000,64,128,2.978626
100000,64,128,2.975136
100000,64,128,2.972753
100000,64,128,2.970911
100000,64,128,2.974096
100000,64,128,2.982385
100000,64,128,2.982628
100000,64,128,2.979700
100000,64,128,2.978093
100000,64,128,2.975938
100000,64,128,2.975932
100000,64,128,2.982862
100000,64,128,2.975843
100000,64,128,2.977865
100000,64,128,2.979054
100000,64,128,2.977969
100000,64,128,2.982882
100000,64,256,3.098479
100000,64,256,3.202440
100000,64,256,3.106934
100000,64,256,3.135845
100000,64,256,3.119117
100000,64,256,3.121329
100000,64,256,3.118531
100000,64,256,3.121285
100000,64,256,3.123112
100000,64,256,3.121531
100000,64,256,3.138874
100000,64,256,3.118700
100000,64,256,3.121708
100000,64,256,3.121073
100000,64,256,3.125191
100000,64,256,3.126075
100000,64,256,3.121677
100000,64,256,3.121236
100000,64,256,3.118876
100000,64,256,3.127382
100000,64,450,3.465851
100000,64,450,3.385096
100000,64,450,3.402279
100000,64,450,3.399034
100000,64,450,3.409866
100000,64,450,3.404617
100000,64,450,3.402873
100000,64,450,3.410657
100000,64,450,3.407328
100000,64,450,3.415176
100000,64,450,3.419336
100000,64,450,3.419320
100000,64,450,3.420073
100000,64,450,3.415550
100000,64,450,3.402690
100000,64,450,3.411247
100000,64,450,3.407520
100000,64,450,3.560599
100000,64,450,3.476442
100000,64,450,3.420955
100000,64,512,3.608103
100000,64,512,5.680903
100000,64,512,4.252664
100000,64,512,4.268778
100000,64,512,4.270890
100000,64,512,4.279181
100000,64,512,4.278489
100000,64,512,4.284975
100000,64,512,4.291857
100000,64,512,4.298054
100000,64,512,4.300002
100000,64,512,4.334000
100000,64,512,4.295881
100000,64,512,4.293557
100000,64,512,3.749555
100000,64,512,3.668941
100000,64,512,3.655863
100000,64,512,3.646780
100000,64,512,3.673216
100000,64,512,3.665136
100000,64,800,4.926097
100000,64,800,7.198796
100000,64,800,4.948651
100000,64,800,4.947803
100000,64,800,4.991474
100000,64,800,4.990778
100000,64,800,4.977162
100000,64,800,4.948874
100000,64,800,4.947095
100000,64,800,4.947402
100000,64,800,4.949484
100000,64,800,4.946050
100000,64,800,8.242436
100000,64,800,8.414460
100000,64,800,4.947312
100000,64,800,4.990262
100000,64,800,4.948684
100000,64,800,4.962836
100000,64,800,4.958111
100000,64,800,4.967336
100000,64,1024,6.359353
100000,64,1024,6.361758
100000,64,1024,6.358067
100000,64,1024,6.352327
100000,64,1024,6.352384
100000,64,1024,6.360411
100000,64,1024,6.402283
100000,64,1024,6.359216
100000,64,1024,6.351218
100000,64,1024,6.368858
100000,64,1024,6.361692
100000,64,1024,6.356994
100000,64,1024,6.367647
100000,64,1024,6.378010
100000,64,1024,6.374338
100000,64,1024,6.426428
100000,64,1024,6.374308
100000,64,1024,6.385833
100000,64,1024,6.373736
100000,64,1024,6.378649
100000,64,1500,8.753015
100000,64,1500,8.761996
100000,64,1500,8.758077
100000,64,1500,8.806960
100000,64,1500,8.767734
100000,64,1500,8.766310
100000,64,1500,8.747563
100000,64,1500,8.768218
100000,64,1500,8.748416
100000,64,1500,8.771813
100000,64,1500,8.820162
100000,64,1500,8.785700
100000,64,1500,8.757440
100000,64,1500,8.776291
100000,64,1500,8.775341
100000,64,1500,8.764070
100000,64,1500,8.767559
100000,64,1500,9.302096
100000,64,1500,8.765481
100000,64,1500,8.780510
100000,128,1,2.993741
100000,128,1,2.967600
100000,128,1,2.958282
100000,128,1,2.955795
100000,128,1,2.955057
100000,128,1,2.954555
100000,128,1,2.960611
100000,128,1,2.954376
100000,128,1,2.941294
100000,128,1,2.934359
100000,128,1,2.941651
100000,128,1,3.071338
100000,128,1,2.979038
100000,128,1,2.943744
100000,128,1,2.938431
100000,128,1,2.935140
100000,128,1,2.936460
100000,128,1,2.933199
100000,128,1,2.935329
100000,128,1,2.914985
100000,128,2,2.979955
100000,128,2,2.981348
100000,128,2,2.970788
100000,128,2,2.982474
100000,128,2,3.086731
100000,128,2,2.972786
100000,128,2,2.991088
100000,128,2,2.975086
100000,128,2,2.972125
100000,128,2,2.970500
100000,128,2,4.558079
100000,128,2,3.037921
100000,128,2,2.969417
100000,128,2,2.972860
100000,128,2,2.977082
100000,128,2,2.973017
100000,128,2,2.970284
100000,128,2,2.969281
100000,128,2,2.970347
100000,128,2,2.974803
100000,128,4,2.975014
100000,128,4,2.976166
100000,128,4,2.972956
100000,128,4,2.976115
100000,128,4,2.975849
100000,128,4,2.980881
100000,128,4,2.973186
100000,128,4,2.972868
100000,128,4,2.975013
100000,128,4,2.975340
100000,128,4,3.036304
100000,128,4,3.105907
100000,128,4,2.971926
100000,128,4,2.976605
100000,128,4,2.973246
100000,128,4,2.971987
100000,128,4,2.969419
100000,128,4,2.972770
100000,128,4,2.968236
100000,128,4,2.971829
100000,128,8,2.968713
100000,128,8,2.968770
100000,128,8,2.971824
100000,128,8,2.971870
100000,128,8,3.003334
100000,128,8,2.970711
100000,128,8,2.971148
100000,128,8,2.968222
100000,128,8,2.971350
100000,128,8,2.971948
100000,128,8,3.114954
100000,128,8,2.971606
100000,128,8,3.491000
100000,128,8,2.973017
100000,128,8,2.970270
100000,128,8,2.975640
100000,128,8,2.971719
100000,128,8,2.975152
100000,128,8,2.968477
100000,128,8,2.969878
100000,128,16,3.318219
100000,128,16,2.973757
100000,128,16,2.976759
100000,128,16,2.989668
100000,128,16,2.968692
100000,128,16,2.974582
100000,128,16,2.970688
100000,128,16,4.423969
100000,128,16,2.976321
100000,128,16,3.099729
100000,128,16,2.974972
100000,128,16,2.970050
100000,128,16,2.974766
100000,128,16,2.971131
100000,128,16,2.969457
100000,128,16,2.970505
100000,128,16,2.977625
100000,128,16,2.974844
100000,128,16,2.973444
100000,128,16,2.967850
100000,128,32,2.975098
100000,128,32,2.979148
100000,128,32,2.974130
100000,128,32,2.971238
100000,128,32,2.970298
100000,128,32,2.977406
100000,128,32,2.980686
100000,128,32,2.976025
100000,128,32,5.409701
100000,128,32,2.971361
100000,128,32,2.979968
100000,128,32,2.971534
100000,128,32,2.974408
100000,128,32,2.974146
100000,128,32,2.970891
100000,128,32,2.977416
100000,128,32,2.966218
100000,128,32,2.967963
100000,128,32,3.479091
100000,128,32,2.970939
100000,128,64,2.973909
100000,128,64,2.977921
100000,128,64,3.069870
100000,128,64,3.098651
100000,128,64,2.983806
100000,128,64,2.984836
100000,128,64,2.983863
100000,128,64,3.062535
100000,128,64,3.052417
100000,128,64,2.979102
100000,128,64,4.691382
100000,128,64,3.454360
100000,128,64,2.991573
100000,128,64,2.988379
100000,128,64,2.984658
100000,128,64,2.986066
100000,128,64,2.979733
100000,128,64,2.977263
100000,128,64,2.978383
100000,128,64,2.978526
100000,128,128,3.118308
100000,128,128,3.120732
100000,128,128,3.143712
100000,128,128,3.121719
100000,128,128,3.127915
100000,128,128,3.119962
100000,128,128,3.170075
100000,128,128,3.166594
100000,128,128,3.120350
100000,128,128,3.118555
100000,128,128,3.278228
100000,128,128,5.003553
100000,128,128,3.168480
100000,128,128,3.121428
100000,128,128,3.128843
100000,128,128,3.120266
100000,128,128,3.130417
100000,128,128,3.126953
100000,128,128,3.126279
100000,128,128,3.141868
100000,128,256,3.585031
100000,128,256,3.587379
100000,128,256,3.591593
100000,128,256,3.598080
100000,128,256,3.663761
100000,128,256,3.594675
100000,128,256,3.594264
100000,128,256,3.607693
100000,128,256,3.601041
100000,128,256,3.602409
100000,128,256,3.598635
100000,128,256,3.607789
100000,128,256,3.614181
100000,128,256,3.616764
100000,128,256,3.618525
100000,128,256,3.634511
100000,128,256,3.642300
100000,128,256,3.640794
100000,128,256,3.634595
100000,128,256,3.651796
100000,128,450,5.622543
100000,128,450,5.565821
100000,128,450,5.574331
100000,128,450,5.573556
100000,128,450,5.587590
100000,128,450,6.061921
100000,128,450,5.592220
100000,128,450,5.580182
100000,128,450,5.595263
100000,128,450,5.602539
100000,128,450,5.594543
100000,128,450,5.685996
100000,128,450,5.622826
100000,128,450,5.603192
100000,128,450,5.598224
100000,128,450,5.615653
100000,128,450,6.124852
100000,128,450,5.596750
100000,128,450,5.607982
100000,128,450,5.612423
100000,128,512,6.281265
100000,128,512,6.803434
100000,128,512,8.025184
100000,128,512,6.301518
100000,128,512,6.289606
100000,128,512,6.314941
100000,128,512,6.306457
100000,128,512,6.306528
100000,128,512,6.317367
100000,128,512,6.316947
100000,128,512,6.356702
100000,128,512,6.318194
100000,128,512,6.322767
100000,128,512,8.730598
100000,128,512,6.310108
100000,128,512,6.299072
100000,128,512,6.317014
100000,128,512,6.316375
100000,128,512,6.347538
100000,128,512,6.389155
 100000,128,800,8.789403
100000,128,800,8.817414
100000,128,800,8.840313
100000,128,800,8.852609
100000,128,800,8.839319
100000,128,800,8.833095
100000,128,800,8.887176
100000,128,800,8.749496
100000,128,800,8.754864
100000,128,800,8.783474
100000,128,800,9.513305
100000,128,800,8.797957
100000,128,800,8.869554
100000,128,800,11.257507
100000,128,800,8.785247
100000,128,800,8.796299
